일시,구분,위도,경도,미세먼지,초미세먼지,주된먼지
2022-12-31 23:00,강남구,37.5172,127.0473,57,44,미세먼지
2022-12-31 23:00,강동구,37.5301,127.1238,68,55,미세먼지
2022-12-31 23:00,강북구,37.6398,127.025,59,42,미세먼지
2022-12-31 23:00,강서구,37.5509,126.8495,62,40,미세먼지
2022-12-31 23:00,관악구,37.4784,126.9516,57,38,미세먼지
2022-12-31 23:00,광진구,37.5388,127.0826,54,46,초미세먼지
2022-12-31 23:00,구로구,37.4954,126.8874,64,43,미세먼지
2022-12-31 23:00,금천구,37.4569,126.8955,43,35,초미세먼지
2022-12-31 23:00,노원구,37.6543,127.0568,66,51,미세먼지
2022-12-31 23:00,도봉구,37.6688,127.0467,61,49,미세먼지
2022-12-31 23:00,동대문구,37.5744,127.0395,71,59,미세먼지
2022-12-31 23:00,동작구,37.5124,126.9391,63,48,미세먼지
2022-12-31 23:00,마포구,37.5663,126.9014,57,52,초미세먼지
2022-12-31 23:00,서대문구,37.5792,126.9368,59,44,미세먼지
2022-12-31 23:00,서초구,37.4836,127.0327,52,47,초미세먼지
2022-12-31 23:00,성동구,37.5633,127.0369,61,40,미세먼지
2022-12-31 23:00,성북구,37.5894,127.0164,66,52,미세먼지
2022-12-31 23:00,송파구,37.5145,127.1059,49,33,미세먼지
2022-12-31 23:00,양천구,37.5168,126.8665,48,39,초미세먼지
2022-12-31 23:00,영등포구,37.526,126.8961,48,32,미세먼지
2022-12-31 23:00,용산구,37.5311,126.981,54,41,미세먼지
2022-12-31 23:00,은평구,37.6027,126.9292,48,34,미세먼지
2022-12-31 23:00,종로구,37.5735,126.979,77,67,미세먼지
2022-12-31 23:00,중구,37.5636,126.9978,64,62,초미세먼지
2022-12-31 23:00,중랑구,37.6063,127.0927,66,50,미세먼지
2022-12-31 22:00,강남구,37.5172,127.0473,54,42,미세먼지
2022-12-31 22:00,강동구,37.5301,127.1238,65,49,미세먼지
2022-12-31 22:00,강북구,37.6398,127.025,53,40,미세먼지
2022-12-31 22:00,강서구,37.5509,126.8495,57,36,미세먼지
2022-12-31 22:00,관악구,37.4784,126.9516,60,40,미세먼지
2022-12-31 22:00,광진구,37.5388,127.0826,51,44,초미세먼지
2022-12-31 22:00,구로구,37.4954,126.8874,66,49,미세먼지
2022-12-31 22:00,금천구,37.4569,126.8955,38,32,초미세먼지
2022-12-31 22:00,노원구,37.6543,127.0568,67,52,미세먼지
2022-12-31 22:00,도봉구,37.6688,127.0467,54,43,미세먼지
2022-12-31 22:00,동대문구,37.5744,127.0395,71,62,초미세먼지
2022-12-31 22:00,동작구,37.5124,126.9391,54,41,미세먼지
2022-12-31 22:00,마포구,37.5663,126.9014,69,66,초미세먼지
2022-12-31 22:00,서대문구,37.5792,126.9368,52,45,초미세먼지
2022-12-31 22:00,서초구,37.4836,127.0327,56,45,미세먼지
2022-12-31 22:00,성동구,37.5633,127.0369,58,40,미세먼지
2022-12-31 22:00,성북구,37.5894,127.0164,64,47,미세먼지
2022-12-31 22:00,송파구,37.5145,127.1059,57,43,미세먼지
2022-12-31 22:00,양천구,37.5168,126.8665,49,37,미세먼지
2022-12-31 22:00,영등포구,37.526,126.8961,47,30,미세먼지
2022-12-31 22:00,용산구,37.5311,126.981,61,50,미세먼지
2022-12-31 22:00,은평구,37.6027,126.9292,43,27,미세먼지
2022-12-31 22:00,종로구,37.5735,126.979,76,66,미세먼지
2022-12-31 22:00,중구,37.5636,126.9978,63,62,초미세먼지
2022-12-31 22:00,중랑구,37.6063,127.0927,55,44,미세먼지
2022-12-31 21:00,강남구,37.5172,127.0473,52,39,미세먼지
2022-12-31 21:00,강동구,37.5301,127.1238,69,51,미세먼지
2022-12-31 21:00,강북구,37.6398,127.025,59,45,미세먼지
2022-12-31 21:00,강서구,37.5509,126.8495,53,34,미세먼지
2022-12-31 21:00,관악구,37.4784,126.9516,63,44,미세먼지
2022-12-31 21:00,광진구,37.5388,127.0826,51,41,미세먼지
2022-12-31 21:00,구로구,37.4954,126.8874,56,40,미세먼지
2022-12-31 21:00,금천구,37.4569,126.8955,37,32,초미세먼지
2022-12-31 21:00,노원구,37.6543,127.0568,67,54,미세먼지
2022-12-31 21:00,도봉구,37.6688,127.0467,51,46,초미세먼지
2022-12-31 21:00,동대문구,37.5744,127.0395,65,53,미세먼지
2022-12-31 21:00,동작구,37.5124,126.9391,45,33,미세먼지
2022-12-31 21:00,마포구,37.5663,126.9014,51,48,초미세먼지
2022-12-31 21:00,서대문구,37.5792,126.9368,44,35,초미세먼지
2022-12-31 21:00,서초구,37.4836,127.0327,54,48,초미세먼지
2022-12-31 21:00,성동구,37.5633,127.0369,59,39,미세먼지
2022-12-31 21:00,성북구,37.5894,127.0164,68,52,미세먼지
2022-12-31 21:00,송파구,37.5145,127.1059,62,49,미세먼지
2022-12-31 21:00,양천구,37.5168,126.8665,51,36,미세먼지
2022-12-31 21:00,영등포구,37.526,126.8961,45,32,미세먼지
2022-12-31 21:00,용산구,37.5311,126.981,65,55,미세먼지
2022-12-31 21:00,은평구,37.6027,126.9292,40,28,미세먼지
2022-12-31 21:00,종로구,37.5735,126.979,76,62,미세먼지
2022-12-31 21:00,중구,37.5636,126.9978,67,62,초미세먼지
2022-12-31 21:00,중랑구,37.6063,127.0927,51,39,미세먼지
2022-12-31 20:00,강남구,37.5172,127.0473,51,38,미세먼지
2022-12-31 20:00,강동구,37.5301,127.1238,66,53,미세먼지
2022-12-31 20:00,강북구,37.6398,127.025,60,46,미세먼지
2022-12-31 20:00,강서구,37.5509,126.8495,57,33,미세먼지
2022-12-31 20:00,관악구,37.4784,126.9516,65,43,미세먼지
2022-12-31 20:00,광진구,37.5388,127.0826,53,41,미세먼지
2022-12-31 20:00,구로구,37.4954,126.8874,56,35,미세먼지
2022-12-31 20:00,금천구,37.4569,126.8955,35,29,초미세먼지
2022-12-31 20:00,노원구,37.6543,127.0568,66,52,미세먼지
2022-12-31 20:00,도봉구,37.6688,127.0467,53,45,초미세먼지
2022-12-31 20:00,동대문구,37.5744,127.0395,63,50,미세먼지
2022-12-31 20:00,동작구,37.5124,126.9391,50,34,미세먼지
2022-12-31 20:00,마포구,37.5663,126.9014,41,35,초미세먼지
2022-12-31 20:00,서대문구,37.5792,126.9368,51,36,미세먼지
2022-12-31 20:00,서초구,37.4836,127.0327,51,45,초미세먼지
2022-12-31 20:00,성동구,37.5633,127.0369,63,44,미세먼지
2022-12-31 20:00,성북구,37.5894,127.0164,69,50,미세먼지
2022-12-31 20:00,송파구,37.5145,127.1059,59,48,미세먼지
2022-12-31 20:00,양천구,37.5168,126.8665,54,41,미세먼지
2022-12-31 20:00,영등포구,37.526,126.8961,47,33,미세먼지
2022-12-31 20:00,용산구,37.5311,126.981,65,53,미세먼지
2022-12-31 20:00,은평구,37.6027,126.9292,38,28,미세먼지
2022-12-31 20:00,종로구,37.5735,126.979,71,59,미세먼지
2022-12-31 20:00,중구,37.5636,126.9978,69,59,미세먼지
2022-12-31 20:00,중랑구,37.6063,127.0927,54,39,미세먼지
2022-12-31 19:00,강남구,37.5172,127.0473,58,40,미세먼지
2022-12-31 19:00,강동구,37.5301,127.1238,67,52,미세먼지
2022-12-31 19:00,강북구,37.6398,127.025,67,52,미세먼지
2022-12-31 19:00,강서구,37.5509,126.8495,52,29,미세먼지
2022-12-31 19:00,관악구,37.4784,126.9516,55,35,미세먼지
2022-12-31 19:00,광진구,37.5388,127.0826,52,43,초미세먼지
2022-12-31 19:00,구로구,37.4954,126.8874,49,33,미세먼지
2022-12-31 19:00,금천구,37.4569,126.8955,41,33,초미세먼지
2022-12-31 19:00,노원구,37.6543,127.0568,65,53,미세먼지
2022-12-31 19:00,도봉구,37.6688,127.0467,53,47,초미세먼지
2022-12-31 19:00,동대문구,37.5744,127.0395,58,50,초미세먼지
2022-12-31 19:00,동작구,37.5124,126.9391,49,37,미세먼지
2022-12-31 19:00,마포구,37.5663,126.9014,38,32,초미세먼지
2022-12-31 19:00,서대문구,37.5792,126.9368,44,32,미세먼지
2022-12-31 19:00,서초구,37.4836,127.0327,56,43,미세먼지
2022-12-31 19:00,성동구,37.5633,127.0369,62,40,미세먼지
2022-12-31 19:00,성북구,37.5894,127.0164,64,52,미세먼지
2022-12-31 19:00,송파구,37.5145,127.1059,55,42,미세먼지
2022-12-31 19:00,양천구,37.5168,126.8665,50,38,미세먼지
2022-12-31 19:00,영등포구,37.526,126.8961,45,33,미세먼지
2022-12-31 19:00,용산구,37.5311,126.981,56,46,미세먼지
2022-12-31 19:00,은평구,37.6027,126.9292,42,31,미세먼지
2022-12-31 19:00,종로구,37.5735,126.979,64,56,초미세먼지
2022-12-31 19:00,중구,37.5636,126.9978,65,59,초미세먼지
2022-12-31 19:00,중랑구,37.6063,127.0927,57,42,미세먼지
2022-12-31 18:00,강남구,37.5172,127.0473,55,40,미세먼지
2022-12-31 18:00,강동구,37.5301,127.1238,66,50,미세먼지
2022-12-31 18:00,강북구,37.6398,127.025,69,53,미세먼지
2022-12-31 18:00,강서구,37.5509,126.8495,52,32,미세먼지
2022-12-31 18:00,관악구,37.4784,126.9516,47,32,미세먼지
2022-12-31 18:00,광진구,37.5388,127.0826,52,42,미세먼지
2022-12-31 18:00,구로구,37.4954,126.8874,50,31,미세먼지
2022-12-31 18:00,금천구,37.4569,126.8955,40,30,미세먼지
2022-12-31 18:00,노원구,37.6543,127.0568,61,50,미세먼지
2022-12-31 18:00,도봉구,37.6688,127.0467,58,44,미세먼지
2022-12-31 18:00,동대문구,37.5744,127.0395,60,47,미세먼지
2022-12-31 18:00,동작구,37.5124,126.9391,47,37,미세먼지
2022-12-31 18:00,마포구,37.5663,126.9014,38,33,초미세먼지
2022-12-31 18:00,서대문구,37.5792,126.9368,48,36,미세먼지
2022-12-31 18:00,서초구,37.4836,127.0327,58,41,미세먼지
2022-12-31 18:00,성동구,37.5633,127.0369,61,39,미세먼지
2022-12-31 18:00,성북구,37.5894,127.0164,59,46,미세먼지
2022-12-31 18:00,송파구,37.5145,127.1059,56,43,미세먼지
2022-12-31 18:00,양천구,37.5168,126.8665,48,33,미세먼지
2022-12-31 18:00,영등포구,37.526,126.8961,45,32,미세먼지
2022-12-31 18:00,용산구,37.5311,126.981,46,38,초미세먼지
2022-12-31 18:00,은평구,37.6027,126.9292,43,33,미세먼지
2022-12-31 18:00,종로구,37.5735,126.979,65,54,미세먼지
2022-12-31 18:00,중구,37.5636,126.9978,63,55,초미세먼지
2022-12-31 18:00,중랑구,37.6063,127.0927,60,45,미세먼지
2022-12-31 17:00,강남구,37.5172,127.0473,56,42,미세먼지
2022-12-31 17:00,강동구,37.5301,127.1238,57,47,미세먼지
2022-12-31 17:00,강북구,37.6398,127.025,64,49,미세먼지
2022-12-31 17:00,강서구,37.5509,126.8495,50,27,미세먼지
2022-12-31 17:00,관악구,37.4784,126.9516,43,27,미세먼지
2022-12-31 17:00,광진구,37.5388,127.0826,52,41,미세먼지
2022-12-31 17:00,구로구,37.4954,126.8874,52,32,미세먼지
2022-12-31 17:00,금천구,37.4569,126.8955,41,31,미세먼지
2022-12-31 17:00,노원구,37.6543,127.0568,56,42,미세먼지
2022-12-31 17:00,도봉구,37.6688,127.0467,53,41,미세먼지
